set#,solar_profile,epsl,max_depth,k_li,k_ih,u_max,u_mnt,ini_biomass,steps_day,duration,graph_save,mode,graph_output
1,winter,0.15,0.01,30,300,2.5,0.1,250,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
2,winter,0.15,0.01,30,300,2.5,0.1,500,1440,2,TRUE,batch,/home/live/Desktop/v2.1/
3,winter,0.15,0.05,30,100,2.5,0.15,500,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
4,winter,0.15,0.05,31,101,2.5,0.15,501,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
5,winter,0.15,0.05,32,102,2.5,0.15,502,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
6,winter,0.15,0.05,33,103,2.5,0.15,503,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
7,winter,0.15,0.05,34,104,2.5,0.15,504,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
8,summer,0.15,0.05,35,105,2.5,0.15,505,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
9,summer,0.15,0.05,36,106,2.5,0.15,506,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
10,summer,0.15,0.05,37,107,2.5,0.15,507,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
11,summer,0.15,0.05,38,108,2.5,0.15,508,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
12,summer,0.15,0.05,39,109,2.5,0.15,509,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
13,summer,0.15,0.05,40,110,2.5,0.15,510,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
14,summer,0.15,0.05,41,111,2.5,0.15,511,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
15,summer,0.15,0.05,42,112,2.5,0.15,512,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
16,summer,0.15,0.05,43,113,2.5,0.15,513,1440,2,TRUE,turbido,/home/live/Desktop/v2.1/
