set#,solar_profile,max_depth,epsl,u_max,u_mnt,k_li,k_ih,ini_biomass,mode,graph_save,graph_output,steps_day,duration,day1,day2
,winter,0.01,0.15,2.5,0.1,30,300,1000,turbido,True,/home/live/Desktop/v2.1/,,2,3.8704334819594055,3.845580173386524
set#,solar_profile,max_depth,epsl,u_max,u_mnt,k_li,k_ih,ini_biomass,mode,graph_save,graph_output,steps_day,duration,day1,day2
1,winter,0.01,0.15,2.5,0.1,30,300,250,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,0.7511137484685859,0.7385722764399243
2,winter,0.01,0.15,2.5,0.1,30,300,500,batch,TRUE,/home/live/Desktop/v2.1/,1440,2,1.8144654908333946,2.5946520199872833
3,winter,0.05,0.3,2.5,0.15,30,100,500,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,7.088281021054652,7.204711605856313
set#,solar_profile,max_depth,epsl,u_max,u_mnt,k_li,k_ih,ini_biomass,mode,graph_save,graph_output,steps_day,duration,day1,day2
1,winter,0.01,0.15,2.5,0.1,30,300,250,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,0.7511137484685859,0.7385722764399243
2,winter,0.01,0.15,2.5,0.1,30,300,500,batch,TRUE,/home/live/Desktop/v2.1/,1440,2,1.8144654908333946,2.5946520199872833
3,winter,0.05,0.15,2.5,0.15,30,100,500,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,5.296954406078329,5.303560335196427
4,winter,0.05,0.15,2.5,0.15,31,101,501,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,5.3123884726300155,5.322893181681384
5,winter,0.05,0.15,2.5,0.15,32,102,502,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,5.3279024854275026,5.339112227039334
6,winter,0.05,0.15,2.5,0.15,33,103,503,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,5.343457398180088,5.358618810966713
7,winter,0.05,0.15,2.5,0.15,34,104,504,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,5.35901942847438,5.378158978803774
8,summer,0.05,0.15,2.5,0.15,35,105,505,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,7.205646241642487,6.883070429616778
9,summer,0.05,0.15,2.5,0.15,36,106,506,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,7.236926549611068,6.906953230062665
10,summer,0.05,0.15,2.5,0.15,37,107,507,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,7.270848418096312,6.934878812005185
11,summer,0.05,0.15,2.5,0.15,38,108,508,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,7.304981143641061,6.957683901908712
12,summer,0.05,0.15,2.5,0.15,39,109,509,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,7.33929397663447,6.986820991755646
13,summer,0.05,0.15,2.5,0.15,40,110,510,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,7.3711818235318525,7.012991190537112
14,summer,0.05,0.15,2.5,0.15,41,111,511,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,7.405736391046021,7.042913294738825
15,summer,0.05,0.15,2.5,0.15,42,112,512,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,7.440392123635443,7.067536053570337
16,summer,0.05,0.15,2.5,0.15,43,113,513,turbido,TRUE,/home/live/Desktop/v2.1/,1440,2,7.475126454855687,7.098204481202692
